Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_abridged,in_full,calcBoundsOpt
190,None,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
191,None,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
192,None,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
193,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
194,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
195,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
196,None,Greedy,GS,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
197,None,Greedy,GS,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
198,None,Greedy,GS,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
199,None,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
200,None,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
201,None,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
202,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
203,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
204,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
205,None,Greedy,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
206,None,Greedy,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
207,None,Greedy,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
208,None,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
209,None,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
210,None,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
211,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,1
212,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,1
213,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,1
214,None,Greedy,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,2
215,None,Greedy,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,2
216,None,Greedy,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,2
217,None,None,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,1
218,None,None,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,1
219,None,None,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,1
