Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_abridged,in_year_2019,calcBoundsOpt
209,Centralized-MILP_priority,None,Interconstellation,Urgency,Ground,2019-08-10,False,False,True,0
210,Centralized-MILP_priority,None,Interconstellation,Urgency,Ground,2019-11-10,False,False,True,0
211,Centralized-MILP_priority,None,Interconstellation,Urgency,Onboard,2019-05-15,False,False,True,0
212,Centralized-MILP_priority,None,Interconstellation,Urgency,Onboard,2019-08-10,False,False,True,0
213,Centralized-MILP_priority,None,Interconstellation,Urgency,Onboard,2019-11-10,False,False,True,0
214,Centralized-MILP_priority,None,Interconstellation,Urgency,Instant,2019-05-15,False,False,True,0
215,Centralized-MILP_priority,None,Interconstellation,Urgency,Instant,2019-08-10,False,False,True,0
216,Centralized-MILP_priority,None,Interconstellation,Urgency,Instant,2019-11-10,False,False,True,0
217,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Ground,2019-05-15,False,False,True,0
218,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Ground,2019-08-10,False,False,True,0
219,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Ground,2019-11-10,False,False,True,0
220,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Onboard,2019-05-15,False,False,True,0
221,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Onboard,2019-08-10,False,False,True,0
222,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Onboard,2019-11-10,False,False,True,0
223,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Instant,2019-05-15,False,False,True,0
224,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Instant,2019-08-10,False,False,True,0
225,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Instant,2019-11-10,False,False,True,0
226,Centralized-MILP_priority,None,Intraconstellation,Revisits,Ground,2019-05-15,False,False,True,0
227,Centralized-MILP_priority,None,Intraconstellation,Revisits,Ground,2019-08-10,False,False,True,0
228,Centralized-MILP_priority,None,Intraconstellation,Revisits,Ground,2019-11-10,False,False,True,0
229,Centralized-MILP_priority,None,Intraconstellation,Revisits,Onboard,2019-05-15,False,False,True,0
230,Centralized-MILP_priority,None,Intraconstellation,Revisits,Onboard,2019-08-10,False,False,True,0
231,Centralized-MILP_priority,None,Intraconstellation,Revisits,Onboard,2019-11-10,False,False,True,0
232,Centralized-MILP_priority,None,Intraconstellation,Revisits,Instant,2019-05-15,False,False,True,0
233,Centralized-MILP_priority,None,Intraconstellation,Revisits,Instant,2019-08-10,False,False,True,0
234,Centralized-MILP_priority,None,Intraconstellation,Revisits,Instant,2019-11-10,False,False,True,0
