Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_centralization
167,DP,Greedy,Interconstellation,water_quality,Onboard,Commercial,2019-05-15,True
168,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
169,None,CBBA,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
170,DP,None,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
171,None,Greedy,GS,Comprehensive,Onboard,Commercial,2019-05-15,True
172,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
173,DP,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
174,DP,None,Intraconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
175,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
176,DP,None,GS,water_quality,Onboard,Walker-Delta,2019-05-15,True
177,None,Greedy,GS,water_quality,Onboard,Commercial,2019-05-15,True
178,DP,None,Interconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
179,DP,None,GS,water_quality,Oracle,Commercial,2019-05-15,True
180,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
181,DP,None,GS,water_quality,Oracle,Walker-Delta,2019-05-15,True
182,None,Greedy,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
183,DP,None,Interconstellation,water_quality,Oracle,Commercial,2019-05-15,True
184,DP,None,Interconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
185,None,Greedy,GS,Comprehensive,Oracle,Commercial,2019-05-15,True
186,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
187,DP,None,Interconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
188,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
189,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
190,DP,None,Interconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
191,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
192,DP,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
193,DP,None,GS,water_quality,Onboard,Commercial,2019-05-15,True
194,DP,None,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
195,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
196,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
197,DP,None,Intraconstellation,water_quality,Onboard,Commercial,2019-05-15,True
198,DP,Greedy,Intraconstellation,water_quality,Onboard,Commercial,2019-05-15,True
199,None,Greedy,GS,water_quality,Oracle,Commercial,2019-05-15,True
200,Centralized-MILP_priority,None,Interconstellation,water_quality,Oracle,Commercial,2019-05-15,True
201,DP,Greedy,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
202,DP,Greedy,GS,water_quality,Oracle,Walker-Delta,2019-05-15,True
203,DP,Greedy,Intraconstellation,water_quality,Oracle,Commercial,2019-05-15,True
204,DP,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
205,Centralized-MILP_priority,None,GS,water_quality,Oracle,Walker-Delta,2019-05-15,True
206,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
207,DP,Greedy,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
208,Centralized-MILP_priority,None,Interconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
209,DP,None,GS,Comprehensive,Onboard,Commercial,2019-05-15,True
210,DP,None,Intraconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
211,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
212,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
213,None,Greedy,GS,water_quality,Onboard,Walker-Delta,2019-05-15,True
214,None,Greedy,Intraconstellation,water_quality,Onboard,Commercial,2019-05-15,True
215,DP,None,GS,Comprehensive,Oracle,Commercial,2019-05-15,True
216,Centralized-MILP_priority,None,Interconstellation,water_quality,Onboard,Commercial,2019-05-15,True
217,None,CBBA,GS,water_quality,Onboard,Commercial,2019-05-15,True
218,None,Greedy,Intraconstellation,water_quality,Oracle,Commercial,2019-05-15,True
219,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
220,None,CBBA,Intraconstellation,water_quality,Onboard,Commercial,2019-05-15,True
221,None,Greedy,Interconstellation,water_quality,Oracle,Commercial,2019-05-15,True
222,DP,CBBA,GS,Comprehensive,Onboard,Commercial,2019-05-15,True
223,DP,CBBA,Interconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
224,None,CBBA,Interconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
225,DP,CBBA,Interconstellation,water_quality,Oracle,Commercial,2019-05-15,True
226,DP,CBBA,Interconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
227,None,CBBA,Interconstellation,water_quality,Onboard,Commercial,2019-05-15,True
228,DP,CBBA,Interconstellation,water_quality,Onboard,Commercial,2019-05-15,True
229,Centralized-MILP_priority,None,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
230,None,Greedy,Interconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
231,DP,Greedy,GS,water_quality,Oracle,Commercial,2019-05-15,True
232,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
233,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Commercial,2019-05-15,True
234,DP,CBBA,Intraconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
235,None,CBBA,Interconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
236,Centralized-MILP_priority,None,Intraconstellation,water_quality,Oracle,Commercial,2019-05-15,True
237,DP,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
238,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
239,None,CBBA,Interconstellation,water_quality,Oracle,Commercial,2019-05-15,True
240,DP,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
241,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
242,None,CBBA,Intraconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
243,DP,CBBA,GS,water_quality,Onboard,Commercial,2019-05-15,True
244,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Commercial,2019-05-15,True
245,None,Greedy,Intraconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
246,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
247,DP,CBBA,GS,water_quality,Onboard,Walker-Delta,2019-05-15,True
248,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
249,DP,CBBA,GS,Comprehensive,Oracle,Commercial,2019-05-15,True
250,DP,CBBA,GS,water_quality,Oracle,Commercial,2019-05-15,True
251,DP,CBBA,GS,water_quality,Oracle,Walker-Delta,2019-05-15,True
252,None,CBBA,Intraconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
253,DP,CBBA,Interconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
254,None,Greedy,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
255,None,Greedy,Interconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
256,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
257,None,CBBA,Interconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
258,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
259,DP,CBBA,Interconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
260,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
261,None,CBBA,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
262,DP,CBBA,Intraconstellation,water_quality,Onboard,Commercial,2019-05-15,True
263,DP,None,Interconstellation,water_quality,Onboard,Commercial,2019-05-15,True
264,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
265,None,CBBA,GS,water_quality,Oracle,Commercial,2019-05-15,True
266,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
267,None,CBBA,Intraconstellation,water_quality,Oracle,Commercial,2019-05-15,True
268,None,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
269,None,CBBA,GS,water_quality,Oracle,Walker-Delta,2019-05-15,True
270,None,CBBA,GS,water_quality,Onboard,Walker-Delta,2019-05-15,True
271,DP,Greedy,GS,Comprehensive,Onboard,Commercial,2019-05-15,True
272,None,Greedy,Intraconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
273,DP,Greedy,GS,Comprehensive,Oracle,Commercial,2019-05-15,True
274,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
275,DP,CBBA,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
276,Centralized-MILP_priority,None,GS,water_quality,Onboard,Commercial,2019-05-15,True
277,None,CBBA,Interconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
278,DP,Greedy,GS,water_quality,Onboard,Commercial,2019-05-15,True
279,Centralized-MILP_priority,None,Intraconstellation,water_quality,Onboard,Commercial,2019-05-15,True
280,DP,CBBA,Intraconstellation,water_quality,Oracle,Commercial,2019-05-15,True
281,Centralized-MILP_priority,None,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
282,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
283,DP,Greedy,GS,water_quality,Onboard,Walker-Delta,2019-05-15,True
284,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
285,None,Greedy,Interconstellation,water_quality,Onboard,Commercial,2019-05-15,True
286,None,Greedy,Interconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
287,DP,CBBA,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
288,None,CBBA,GS,water_quality,Oracle,Commercial,2019-08-10,True
289,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True
290,DP,None,Interconstellation,water_quality,Oracle,Walker-Delta,2019-08-10,True
291,None,CBBA,Interconstellation,water_quality,Oracle,Walker-Delta,2019-08-10,True
292,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Commercial,2019-08-10,True
293,None,Greedy,GS,Comprehensive,Oracle,Commercial,2019-08-10,True
294,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True
295,None,CBBA,GS,water_quality,Onboard,Walker-Delta,2019-08-10,True
296,None,CBBA,Intraconstellation,Comprehensive,Onboard,Commercial,2019-08-10,True
297,None,CBBA,Intraconstellation,water_quality,Oracle,Commercial,2019-08-10,True
298,DP,None,Interconstellation,water_quality,Onboard,Commercial,2019-08-10,True
299,DP,None,Interconstellation,water_quality,Oracle,Commercial,2019-08-10,True
300,None,CBBA,GS,Comprehensive,Oracle,Commercial,2019-08-10,True
301,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True
302,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Commercial,2019-08-10,True
303,DP,None,Interconstellation,water_quality,Onboard,Walker-Delta,2019-08-10,True
304,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True
305,None,CBBA,GS,water_quality,Onboard,Commercial,2019-08-10,True
306,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True
307,Centralized-MILP_priority,None,GS,water_quality,Onboard,Walker-Delta,2019-08-10,True
308,DP,None,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-08-10,True
309,DP,None,Intraconstellation,water_quality,Oracle,Commercial,2019-08-10,True
310,None,Greedy,GS,Comprehensive,Onboard,Commercial,2019-08-10,True
311,DP,None,Intraconstellation,water_quality,Onboard,Commercial,2019-08-10,True
312,None,CBBA,Interconstellation,Comprehensive,Oracle,Commercial,2019-08-10,True
313,None,CBBA,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-08-10,True
314,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Commercial,2019-08-10,True
315,None,CBBA,Interconstellation,Comprehensive,Onboard,Commercial,2019-08-10,True
316,DP,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True
317,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True
318,DP,None,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-08-10,True
319,None,CBBA,GS,water_quality,Oracle,Walker-Delta,2019-08-10,True
320,None,CBBA,Interconstellation,water_quality,Onboard,Commercial,2019-08-10,True
321,Centralized-MILP_priority,None,GS,water_quality,Oracle,Walker-Delta,2019-08-10,True
322,DP,None,Intraconstellation,Comprehensive,Oracle,Commercial,2019-08-10,True
323,None,CBBA,Intraconstellation,water_quality,Onboard,Commercial,2019-08-10,True
