Trial ID,Strategy,Preplanner,Replanner,Latency,Scenario,Data Processing,Date,in_centralization
147,Decentralized,DP,Greedy,High,water_quality,Onboard,2018-11-10,True
148,Decentralized,DP,Greedy,High,water_quality,Onboard,2019-02-15,True
149,Decentralized,DP,Greedy,High,water_quality,Onboard,2019-05-15,True
150,Decentralized,DP,Greedy,High,water_quality,Onboard,2019-08-10,True
151,Decentralized,DP,Greedy,High,water_quality,Onboard,2019-11-10,True
152,Decentralized,DP,Greedy,High,water_quality,Oracle,2018-02-15,True
153,Decentralized,DP,Greedy,High,water_quality,Oracle,2018-05-15,True
154,Decentralized,DP,Greedy,High,water_quality,Oracle,2018-08-10,True
155,Decentralized,DP,Greedy,High,water_quality,Oracle,2018-11-10,True
156,Decentralized,DP,Greedy,High,water_quality,Oracle,2019-02-15,True
157,Decentralized,DP,Greedy,High,water_quality,Oracle,2019-05-15,True
158,Decentralized,DP,Greedy,High,water_quality,Oracle,2019-08-10,True
159,Decentralized,DP,Greedy,High,water_quality,Oracle,2019-11-10,True
160,Decentralized,DP,Greedy,Low,water_quality,Onboard,2018-02-15,True
161,Decentralized,DP,Greedy,Low,water_quality,Onboard,2018-05-15,True
162,Decentralized,DP,Greedy,Low,water_quality,Onboard,2018-08-10,True
163,Decentralized,DP,Greedy,Low,water_quality,Onboard,2018-11-10,True
164,Decentralized,DP,Greedy,Low,water_quality,Onboard,2019-02-15,True
165,Decentralized,DP,Greedy,Low,water_quality,Onboard,2019-05-15,True
166,Decentralized,DP,Greedy,Low,water_quality,Onboard,2019-08-10,True
167,Decentralized,DP,Greedy,Low,water_quality,Onboard,2019-11-10,True
168,Decentralized,DP,Greedy,Low,water_quality,Oracle,2018-02-15,True
169,Decentralized,DP,Greedy,Low,water_quality,Oracle,2018-05-15,True
170,Decentralized,DP,Greedy,Low,water_quality,Oracle,2018-08-10,True
171,Decentralized,DP,Greedy,Low,water_quality,Oracle,2018-11-10,True
172,Decentralized,DP,Greedy,Low,water_quality,Oracle,2019-02-15,True
173,Decentralized,DP,Greedy,Low,water_quality,Oracle,2019-05-15,True
174,Decentralized,DP,Greedy,Low,water_quality,Oracle,2019-08-10,True
175,Decentralized,DP,Greedy,Low,water_quality,Oracle,2019-11-10,True
176,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2018-02-15,True
177,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2018-05-15,True
178,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2018-08-10,True
179,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2018-11-10,True
180,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2019-02-15,True
181,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2019-05-15,True
182,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2019-08-10,True
183,Decentralized,DP,Greedy,Medium,water_quality,Onboard,2019-11-10,True
184,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2018-02-15,True
185,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2018-05-15,True
186,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2018-08-10,True
187,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2018-11-10,True
188,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2019-02-15,True
189,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2019-05-15,True
190,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2019-08-10,True
191,Decentralized,DP,Greedy,Medium,water_quality,Oracle,2019-11-10,True
192,Decentralized,DP,None,High,water_quality,Onboard,2018-02-15,True
193,Decentralized,DP,None,High,water_quality,Onboard,2018-05-15,True
194,Decentralized,DP,None,High,water_quality,Onboard,2018-08-10,True
195,Decentralized,DP,None,High,water_quality,Onboard,2018-11-10,True
196,Decentralized,DP,None,High,water_quality,Onboard,2019-02-15,True
197,Decentralized,DP,None,High,water_quality,Onboard,2019-05-15,True
198,Decentralized,DP,None,High,water_quality,Onboard,2019-08-10,True
199,Decentralized,DP,None,High,water_quality,Onboard,2019-11-10,True
200,Decentralized,DP,None,High,water_quality,Oracle,2018-02-15,True
201,Decentralized,DP,None,High,water_quality,Oracle,2018-05-15,True
202,Decentralized,DP,None,High,water_quality,Oracle,2018-08-10,True
203,Decentralized,DP,None,High,water_quality,Oracle,2018-11-10,True
204,Decentralized,DP,None,High,water_quality,Oracle,2019-02-15,True
205,Decentralized,DP,None,High,water_quality,Oracle,2019-05-15,True
206,Decentralized,DP,None,High,water_quality,Oracle,2019-08-10,True
207,Decentralized,DP,None,High,water_quality,Oracle,2019-11-10,True
208,Decentralized,DP,None,Low,water_quality,Onboard,2018-02-15,True
209,Decentralized,DP,None,Low,water_quality,Onboard,2018-05-15,True
210,Decentralized,DP,None,Low,water_quality,Onboard,2018-08-10,True
211,Decentralized,DP,None,Low,water_quality,Onboard,2018-11-10,True
212,Decentralized,DP,None,Low,water_quality,Onboard,2019-02-15,True
213,Decentralized,DP,None,Low,water_quality,Onboard,2019-05-15,True
214,Decentralized,DP,None,Low,water_quality,Onboard,2019-08-10,True
215,Decentralized,DP,None,Low,water_quality,Onboard,2019-11-10,True
216,Decentralized,DP,None,Low,water_quality,Oracle,2018-02-15,True
217,Decentralized,DP,None,Low,water_quality,Oracle,2018-05-15,True
218,Decentralized,DP,None,Low,water_quality,Oracle,2018-08-10,True
219,Decentralized,DP,None,Low,water_quality,Oracle,2018-11-10,True
220,Decentralized,DP,None,Low,water_quality,Oracle,2019-02-15,True
221,Decentralized,DP,None,Low,water_quality,Oracle,2019-05-15,True
222,Decentralized,DP,None,Low,water_quality,Oracle,2019-08-10,True
223,Decentralized,DP,None,Low,water_quality,Oracle,2019-11-10,True
224,Decentralized,DP,None,Medium,water_quality,Onboard,2018-02-15,True
225,Decentralized,DP,None,Medium,water_quality,Onboard,2018-05-15,True
226,Decentralized,DP,None,Medium,water_quality,Onboard,2018-08-10,True
227,Decentralized,DP,None,Medium,water_quality,Onboard,2018-11-10,True
228,Decentralized,DP,None,Medium,water_quality,Onboard,2019-02-15,True
229,Decentralized,DP,None,Medium,water_quality,Onboard,2019-05-15,True
230,Decentralized,DP,None,Medium,water_quality,Onboard,2019-08-10,True
231,Decentralized,DP,None,Medium,water_quality,Onboard,2019-11-10,True
232,Decentralized,DP,None,Medium,water_quality,Oracle,2018-02-15,True
233,Decentralized,DP,None,Medium,water_quality,Oracle,2018-05-15,True
234,Decentralized,DP,None,Medium,water_quality,Oracle,2018-08-10,True
235,Decentralized,DP,None,Medium,water_quality,Oracle,2018-11-10,True
236,Decentralized,DP,None,Medium,water_quality,Oracle,2019-02-15,True
237,Decentralized,DP,None,Medium,water_quality,Oracle,2019-05-15,True
238,Decentralized,DP,None,Medium,water_quality,Oracle,2019-08-10,True
239,Decentralized,DP,None,Medium,water_quality,Oracle,2019-11-10,True
240,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2018-02-15,True
241,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2018-05-15,True
242,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2018-08-10,True
243,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2018-11-10,True
244,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2019-02-15,True
245,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2019-05-15,True
246,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2019-08-10,True
247,Decentralized,Metaheuristic,CBBA,High,water_quality,Onboard,2019-11-10,True
248,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2018-02-15,True
249,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2018-05-15,True
250,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2018-08-10,True
251,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2018-11-10,True
252,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2019-02-15,True
253,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2019-05-15,True
254,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2019-08-10,True
255,Decentralized,Metaheuristic,CBBA,High,water_quality,Oracle,2019-11-10,True
256,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2018-02-15,True
257,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2018-05-15,True
258,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2018-08-10,True
259,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2018-11-10,True
260,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2019-02-15,True
261,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2019-05-15,True
262,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2019-08-10,True
263,Decentralized,Metaheuristic,CBBA,Low,water_quality,Onboard,2019-11-10,True
264,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2018-02-15,True
265,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2018-05-15,True
266,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2018-08-10,True
267,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2018-11-10,True
268,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2019-02-15,True
269,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2019-05-15,True
270,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2019-08-10,True
271,Decentralized,Metaheuristic,CBBA,Low,water_quality,Oracle,2019-11-10,True
272,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2018-02-15,True
273,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2018-05-15,True
274,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2018-08-10,True
275,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2018-11-10,True
276,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2019-02-15,True
277,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2019-05-15,True
278,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2019-08-10,True
279,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Onboard,2019-11-10,True
280,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2018-02-15,True
281,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2018-05-15,True
282,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2018-08-10,True
283,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2018-11-10,True
284,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2019-02-15,True
285,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2019-05-15,True
286,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2019-08-10,True
287,Decentralized,Metaheuristic,CBBA,Medium,water_quality,Oracle,2019-11-10,True
288,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2018-02-15,True
289,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2018-05-15,True
290,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2018-08-10,True
291,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2018-11-10,True
292,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2019-02-15,True
293,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2019-05-15,True
294,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2019-08-10,True
295,Decentralized,Metaheuristic,Greedy,High,water_quality,Onboard,2019-11-10,True
296,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2018-02-15,True
297,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2018-05-15,True
298,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2018-08-10,True
299,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2018-11-10,True
300,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2019-02-15,True
301,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2019-05-15,True
302,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2019-08-10,True
303,Decentralized,Metaheuristic,Greedy,High,water_quality,Oracle,2019-11-10,True
304,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2018-02-15,True
305,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2018-05-15,True
306,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2018-08-10,True
307,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2018-11-10,True
308,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2019-02-15,True
309,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2019-05-15,True
310,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2019-08-10,True
311,Decentralized,Metaheuristic,Greedy,Low,water_quality,Onboard,2019-11-10,True
312,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2018-02-15,True
313,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2018-05-15,True
314,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2018-08-10,True
315,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2018-11-10,True
316,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2019-02-15,True
317,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2019-05-15,True
318,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2019-08-10,True
319,Decentralized,Metaheuristic,Greedy,Low,water_quality,Oracle,2019-11-10,True
320,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2018-02-15,True
321,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2018-05-15,True
322,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2018-08-10,True
323,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2018-11-10,True
324,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2019-02-15,True
325,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2019-05-15,True
326,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2019-08-10,True
327,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Onboard,2019-11-10,True
328,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2018-02-15,True
329,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2018-05-15,True
330,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2018-08-10,True
331,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2018-11-10,True
332,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2019-02-15,True
333,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2019-05-15,True
334,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2019-08-10,True
335,Decentralized,Metaheuristic,Greedy,Medium,water_quality,Oracle,2019-11-10,True
336,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2018-02-15,True
337,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2018-05-15,True
338,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2018-08-10,True
339,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2018-11-10,True
340,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2019-02-15,True
341,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2019-05-15,True
342,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2019-08-10,True
343,Decentralized,Metaheuristic,None,High,water_quality,Onboard,2019-11-10,True
344,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2018-02-15,True
345,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2018-05-15,True
346,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2018-08-10,True
347,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2018-11-10,True
348,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2019-02-15,True
349,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2019-05-15,True
350,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2019-08-10,True
351,Decentralized,Metaheuristic,None,High,water_quality,Oracle,2019-11-10,True
352,Decentralized,Metaheuristic,None,Low,water_quality,Onboard,2018-02-15,True
353,Decentralized,Metaheuristic,None,Low,water_quality,Onboard,2018-05-15,True
354,Decentralized,Metaheuristic,None,Low,water_quality,Onboard,2018-08-10,True
355,Decentralized,Metaheuristic,None,Low,water_quality,Onboard,2018-11-10,True
