Trial ID,Preplanner,Replanner,Num Sats,Latency,Task Arrival Rate,Target Distribution,Scenario,in_stress,in_connectivity,in_validation,task_id
304,None,Greedy,96,Low,10,60.0,0,False,False,True,15
305,DP,Greedy,24,Medium,100,60.0,0,False,False,True,15
306,DP,Greedy,12,Medium,500,60.0,0,False,False,True,15
307,None,CBBA,12,Low,500,60.0,2,True,True,True,15
308,DP,CBBA,96,Medium,10,60.0,0,False,False,True,15
309,DP,CBBA,12,High,500,60.0,0,False,False,True,15
310,None,Greedy,24,High,500,60.0,2,False,False,True,15
311,DP,CBBA,12,High,1000,60.0,1,False,False,True,15
312,DP,CBBA,192,High,10,60.0,2,False,False,True,15
313,DP,CBBA,96,High,50,60.0,0,False,False,True,15
314,DP,CBBA,24,Medium,1000,60.0,0,False,False,True,15
315,DP,Greedy,96,Low,500,60.0,2,False,False,True,15
316,None,CBBA,192,High,50,60.0,0,False,True,True,15
317,None,CBBA,192,Medium,100,60.0,2,False,True,True,15
318,None,Greedy,192,Medium,500,60.0,2,False,False,True,15
319,None,CBBA,192,Medium,500,60.0,1,False,True,True,15
320,DP,Greedy,12,Medium,10,60.0,2,False,False,True,16
321,None,Greedy,24,Medium,10,60.0,0,False,False,True,16
322,DP,None,12,Medium,100,60.0,1,False,False,True,16
323,DP,CBBA,12,Medium,50,60.0,0,False,False,True,16
324,DP,Greedy,96,Low,10,60.0,1,False,False,True,16
325,None,Greedy,24,Medium,100,60.0,1,False,False,True,16
326,DP,Greedy,12,Medium,500,60.0,1,False,False,True,16
327,None,CBBA,12,Low,500,60.0,0,True,True,True,16
328,DP,CBBA,96,Medium,10,60.0,1,False,False,True,16
329,DP,CBBA,12,High,500,60.0,1,False,False,True,16
330,None,Greedy,24,High,500,60.0,0,False,False,True,16
331,None,CBBA,12,High,1000,60.0,2,False,True,True,16
332,DP,CBBA,192,High,10,60.0,1,False,False,True,16
333,None,CBBA,96,High,50,60.0,0,False,True,True,16
334,None,CBBA,24,Medium,1000,60.0,0,False,True,True,16
335,DP,Greedy,96,Low,500,60.0,0,False,False,True,16
336,None,CBBA,192,High,50,60.0,1,False,True,True,16
337,None,CBBA,192,Medium,100,60.0,1,False,True,True,16
338,None,Greedy,192,Medium,500,60.0,1,False,False,True,16
339,DP,CBBA,192,Medium,500,60.0,0,False,False,True,16
340,None,Greedy,12,Medium,10,60.0,2,False,False,True,17
341,None,Greedy,24,Medium,10,60.0,2,False,False,True,17
342,DP,None,12,Medium,100,60.0,2,False,False,True,17
343,DP,CBBA,12,Medium,50,60.0,1,False,False,True,17
344,DP,Greedy,96,Low,10,60.0,0,False,False,True,17
345,None,Greedy,24,Medium,100,60.0,0,False,False,True,17
346,DP,Greedy,12,Medium,500,60.0,2,False,False,True,17
347,DP,CBBA,12,Low,500,60.0,0,False,False,True,17
348,DP,CBBA,96,Medium,10,60.0,2,False,False,True,17
349,DP,CBBA,12,High,500,60.0,2,False,False,True,17
350,DP,Greedy,24,High,500,60.0,0,False,False,True,17
351,DP,CBBA,12,High,1000,60.0,0,False,False,True,17
352,DP,CBBA,192,High,10,60.0,0,False,False,True,17
353,DP,CBBA,96,High,50,60.0,2,False,False,True,17
354,DP,CBBA,24,Medium,1000,60.0,1,False,False,True,17
