Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_rq1,in_rq2,in_yearly,in_full,calcBoundsOpt
229,None,CBBA,GS,Co-observations,Onboard,2019-02-15,False,False,True,True,True,0
230,None,CBBA,GS,Revisits,Ground,2019-02-15,False,False,True,True,True,0
231,None,CBBA,GS,Revisits,Onboard,2019-02-15,False,False,True,True,True,0
232,None,CBBA,GS,Urgency,Ground,2019-02-15,False,False,True,True,True,0
233,None,CBBA,GS,Urgency,Onboard,2019-02-15,False,False,True,True,True,0
234,None,CBBA,Interconstellation,Co-observations,Ground,2019-02-15,False,False,True,True,True,0
235,None,CBBA,Interconstellation,Co-observations,Onboard,2019-02-15,False,False,True,True,True,0
236,None,CBBA,Interconstellation,Co-observations,Instant,2019-02-15,False,False,True,True,True,0
237,None,CBBA,Interconstellation,Revisits,Ground,2019-02-15,False,False,True,True,True,0
238,None,CBBA,Interconstellation,Revisits,Onboard,2019-02-15,False,False,True,True,True,0
239,None,CBBA,Interconstellation,Revisits,Instant,2019-02-15,False,False,True,True,True,0
240,None,CBBA,Interconstellation,Urgency,Ground,2019-02-15,False,False,True,True,True,0
241,None,CBBA,Interconstellation,Urgency,Onboard,2019-02-15,False,False,True,True,True,0
242,None,CBBA,Interconstellation,Urgency,Instant,2019-02-15,False,False,True,True,True,0
243,None,CBBA,GS,Co-observations,Ground,2018-02-15,False,False,False,False,True,0
244,None,CBBA,GS,Co-observations,Ground,2018-05-15,False,False,False,False,True,0
245,None,CBBA,GS,Co-observations,Ground,2018-08-10,False,False,False,False,True,0
246,None,CBBA,GS,Co-observations,Ground,2018-11-10,False,False,False,False,True,0
247,None,CBBA,GS,Co-observations,Ground,2019-05-15,False,False,False,True,True,0
248,None,CBBA,GS,Co-observations,Ground,2019-08-10,False,False,False,True,True,0
249,None,CBBA,GS,Co-observations,Ground,2019-11-10,False,False,False,True,True,0
250,None,CBBA,GS,Co-observations,Onboard,2018-02-15,False,False,False,False,True,0
251,None,CBBA,GS,Co-observations,Onboard,2018-05-15,False,False,False,False,True,0
252,None,CBBA,GS,Co-observations,Onboard,2018-08-10,False,False,False,False,True,0
253,None,CBBA,GS,Co-observations,Onboard,2018-11-10,False,False,False,False,True,0
254,None,CBBA,GS,Co-observations,Onboard,2019-05-15,False,False,False,True,True,0
255,None,CBBA,GS,Co-observations,Onboard,2019-08-10,False,False,False,True,True,0
256,None,CBBA,GS,Co-observations,Onboard,2019-11-10,False,False,False,True,True,0
257,None,CBBA,GS,Co-observations,Instant,2018-02-15,False,False,False,False,True,0
258,None,CBBA,GS,Co-observations,Instant,2018-05-15,False,False,False,False,True,0
259,None,CBBA,GS,Co-observations,Instant,2018-08-10,False,False,False,False,True,0
260,None,CBBA,GS,Co-observations,Instant,2018-11-10,False,False,False,False,True,0
261,None,CBBA,GS,Co-observations,Instant,2019-05-15,False,False,False,True,True,0
262,None,CBBA,GS,Co-observations,Instant,2019-08-10,False,False,False,True,True,0
263,None,CBBA,GS,Co-observations,Instant,2019-11-10,False,False,False,True,True,0
264,None,CBBA,GS,Revisits,Ground,2018-02-15,False,False,False,False,True,0
265,None,CBBA,GS,Revisits,Ground,2018-05-15,False,False,False,False,True,0
266,None,CBBA,GS,Revisits,Ground,2018-08-10,False,False,False,False,True,0
267,None,CBBA,GS,Revisits,Ground,2018-11-10,False,False,False,False,True,0
268,None,CBBA,GS,Revisits,Ground,2019-05-15,False,False,False,True,True,0
269,None,CBBA,GS,Revisits,Ground,2019-08-10,False,False,False,True,True,0
270,None,CBBA,GS,Revisits,Ground,2019-11-10,False,False,False,True,True,0
271,None,CBBA,GS,Revisits,Onboard,2018-02-15,False,False,False,False,True,0
272,None,CBBA,GS,Revisits,Onboard,2018-05-15,False,False,False,False,True,0
273,None,CBBA,GS,Revisits,Onboard,2018-08-10,False,False,False,False,True,0
274,None,CBBA,GS,Revisits,Onboard,2018-11-10,False,False,False,False,True,0
275,None,CBBA,GS,Revisits,Onboard,2019-05-15,False,False,False,True,True,0
276,None,CBBA,GS,Revisits,Onboard,2019-08-10,False,False,False,True,True,0
277,None,CBBA,GS,Revisits,Onboard,2019-11-10,False,False,False,True,True,0
278,None,CBBA,GS,Revisits,Instant,2018-02-15,False,False,False,False,True,0
279,None,CBBA,GS,Revisits,Instant,2018-05-15,False,False,False,False,True,0
280,None,CBBA,GS,Revisits,Instant,2018-08-10,False,False,False,False,True,0
281,None,CBBA,GS,Revisits,Instant,2018-11-10,False,False,False,False,True,0
282,None,CBBA,GS,Revisits,Instant,2019-05-15,False,False,False,True,True,0
283,None,CBBA,GS,Revisits,Instant,2019-08-10,False,False,False,True,True,0
284,None,CBBA,GS,Revisits,Instant,2019-11-10,False,False,False,True,True,0
285,None,CBBA,GS,Urgency,Ground,2018-02-15,False,False,False,False,True,0
286,None,CBBA,GS,Urgency,Ground,2018-05-15,False,False,False,False,True,0
287,None,CBBA,GS,Urgency,Ground,2018-08-10,False,False,False,False,True,0
288,None,CBBA,GS,Urgency,Ground,2018-11-10,False,False,False,False,True,0
289,None,CBBA,GS,Urgency,Ground,2019-05-15,False,False,False,True,True,0
290,None,CBBA,GS,Urgency,Ground,2019-08-10,False,False,False,True,True,0
291,None,CBBA,GS,Urgency,Ground,2019-11-10,False,False,False,True,True,0
292,None,CBBA,GS,Urgency,Onboard,2018-02-15,False,False,False,False,True,0
293,None,CBBA,GS,Urgency,Onboard,2018-05-15,False,False,False,False,True,0
294,None,CBBA,GS,Urgency,Onboard,2018-08-10,False,False,False,False,True,0
295,None,CBBA,GS,Urgency,Onboard,2018-11-10,False,False,False,False,True,0
296,None,CBBA,GS,Urgency,Onboard,2019-05-15,False,False,False,True,True,0
297,None,CBBA,GS,Urgency,Onboard,2019-08-10,False,False,False,True,True,0
298,None,CBBA,GS,Urgency,Onboard,2019-11-10,False,False,False,True,True,0
299,None,CBBA,GS,Urgency,Instant,2018-02-15,False,False,False,False,True,0
300,None,CBBA,GS,Urgency,Instant,2018-05-15,False,False,False,False,True,0
301,None,CBBA,GS,Urgency,Instant,2018-08-10,False,False,False,False,True,0
302,None,CBBA,GS,Urgency,Instant,2018-11-10,False,False,False,False,True,0
303,None,CBBA,GS,Urgency,Instant,2019-05-15,False,False,False,True,True,0
304,None,CBBA,GS,Urgency,Instant,2019-08-10,False,False,False,True,True,0
305,None,CBBA,GS,Urgency,Instant,2019-11-10,False,False,False,True,True,0
306,None,CBBA,Interconstellation,Co-observations,Ground,2018-02-15,False,False,False,False,True,0
307,None,CBBA,Interconstellation,Co-observations,Ground,2018-05-15,False,False,False,False,True,0
308,None,CBBA,Interconstellation,Co-observations,Ground,2018-08-10,False,False,False,False,True,0
309,None,CBBA,Interconstellation,Co-observations,Ground,2018-11-10,False,False,False,False,True,0
310,None,CBBA,Interconstellation,Co-observations,Ground,2019-05-15,False,False,False,True,True,0
311,None,CBBA,Interconstellation,Co-observations,Ground,2019-08-10,False,False,False,True,True,0
312,None,CBBA,Interconstellation,Co-observations,Ground,2019-11-10,False,False,False,True,True,0
